year,month,fuel_type,count
2020,3,Hybrid (Petrol),1810
2020,3,Hydrogen,1
2020,3,PHEV,731
2020,3,Petrol,9159
2020,4,BEV,500
2020,4,CNG,23
2020,4,Diesel,2305
2020,4,Diesel PHEV,3
2020,4,Hybrid (Diesel),167
2020,4,Hybrid (Petrol),947
2020,4,Hydrogen,1
2020,4,LPG,1
2020,4,PHEV,328
2020,4,Petrol,5007
2020,5,BEV,688
2020,5,CNG,21
2020,5,Diesel,2769
2020,5,Diesel PHEV,10
2020,5,Hybrid (Diesel),216
2020,5,Hybrid (Petrol),1681
2020,5,Hydrogen,2
2020,5,PHEV,491
2020,5,Petrol,8036
2020,6,BEV,1366
2020,6,CNG,68
2020,6,Diesel,5237
2020,6,Diesel PHEV,7
2020,6,Hybrid (Diesel),454
2020,6,Hybrid (Petrol),2755
2020,6,PHEV,835
2020,6,Petrol,13795
2020,7,BEV,981
2020,7,CNG,58
2020,7,Diesel,5719
2020,7,Diesel PHEV,4
2020,7,Hybrid (Diesel),476
2020,7,Hybrid (Petrol),2313
2020,7,Hydrogen,4
2020,7,PHEV,1004
2020,7,Petrol,11882
2020,8,BEV,1625
2020,8,CNG,33
2020,8,Diesel,3688
2020,8,Diesel PHEV,4
2020,8,Hybrid (Diesel),350
2020,8,Hybrid (Petrol),1926
2020,8,Hydrogen,5
2020,8,PHEV,834
2020,8,Petrol,7815
2020,9,BEV,2865
2020,9,CNG,20
2020,9,Diesel,4191
2020,9,Diesel PHEV,17
2020,9,Hybrid (Diesel),442
2020,9,Hybrid (Petrol),2866
2020,9,Hydrogen,3
2020,9,LPG,1
2020,9,PHEV,1255
2020,9,Petrol,9774
2020,10,BEV,1493
2020,10,CNG,32
2020,10,Diesel,4123
2020,10,Diesel PHEV,10
2020,10,Hybrid (Diesel),650
2020,10,Hybrid (Petrol),3163
2020,10,Hydrogen,4
2020,10,PHEV,1351
2020,10,Petrol,10214
2020,11,BEV,2193
2020,11,CNG,25
2020,11,Diesel,4855
2020,11,Diesel PHEV,33
2020,11,Hybrid (Diesel),693
2020,11,Hybrid (Petrol),3516
2020,11,Hydrogen,3
2020,11,PHEV,1625
2020,11,Petrol,9837
2020,12,BEV,4642
2020,12,CNG,24
2020,12,Diesel,5239
2020,12,Diesel PHEV,47
2020,12,Hybrid (Diesel),859
2020,12,Hybrid (Petrol),4199
2020,12,Hydrogen,4
2020,12,PHEV,2661
2020,12,Petrol,11646
2021,1,BEV,1050
2021,1,CNG,17
2021,1,Diesel,2850
2021,1,Diesel PHEV,21
2021,1,Hybrid (Diesel),645
2021,1,Hybrid (Petrol),2871
2021,1,Hydrogen,2
2021,1,PHEV,944
2021,1,Petrol,7022
2021,2,BEV,1397
2021,2,CNG,21
2021,2,Diesel,2649
2021,2,Diesel PHEV,17
2021,2,Hybrid (Diesel),632
2021,2,Hybrid (Petrol),3231
2021,2,Hydrogen,3
2021,2,PHEV,780
2021,2,Petrol,7490
2021,3,BEV,2324
2021,3,CNG,27
2021,3,Diesel,3934
2021,3,Diesel PHEV,31
2021,3,Hybrid (Diesel),1090
2021,3,Hybrid (Petrol),4905
2021,3,Hydrogen,10
2021,3,LPG,1
2021,3,PHEV,1158
2021,3,Petrol,11802
2021,4,BEV,1969
2021,4,CNG,29
2021,4,Diesel,3302
2021,4,Diesel PHEV,20
2021,4,Hybrid (Diesel),934
2021,4,Hybrid (Petrol),4739
2021,4,Hydrogen,5
2021,4,LPG,2
2021,4,PHEV,1063
2021,4,Petrol,9938
2021,5,BEV,1922
2021,5,CNG,24
2021,5,Diesel,3199
2021,5,Diesel PHEV,28
2021,5,Hybrid (Diesel),805
2021,5,Hybrid (Petrol),4184
2021,5,Hydrogen,2
2021,5,LPG,1
2021,5,PHEV,955
2021,5,Petrol,8860
2021,6,BEV,3691
2021,6,CNG,29
2021,6,Diesel,3491
2021,6,Diesel PHEV,40
2021,6,Hybrid (Diesel),1063
2021,6,Hybrid (Petrol),5459
2021,6,Hydrogen,9
2021,6,PHEV,1141
2021,6,Petrol,11101
2021,7,BEV,1832
2021,7,CNG,12
2021,7,Diesel,2591
2021,7,Diesel PHEV,33
2021,7,Hybrid (Diesel),887
2021,7,Hybrid (Petrol),4299
2021,7,Hydrogen,9
2021,7,PHEV,881
2021,7,Petrol,8701
2021,8,BEV,2245
2021,8,CNG,16
2021,8,Diesel,1918
2021,8,Diesel PHEV,40
2021,8,Hybrid (Diesel),731
2021,8,Hybrid (Petrol),4404
2021,8,Hydrogen,11
2021,8,LPG,1
2021,8,PHEV,762
2021,8,Petrol,6321
2021,9,BEV,4035
2021,9,CNG,11
2021,9,Diesel,1946
2021,9,Diesel PHEV,50
2021,9,Hybrid (Diesel),837
2021,9,Hybrid (Petrol),4927
2021,9,Hydrogen,5
2021,9,PHEV,817
2021,9,Petrol,7045
2021,10,BEV,2183
2021,10,CNG,24
2021,10,Diesel,1518
2021,10,Diesel PHEV,31
2021,10,Hybrid (Diesel),569
2021,10,Hybrid (Petrol),3976
2021,10,Hydrogen,3
2021,10,PHEV,649
2021,10,Petrol,6105
2021,11,BEV,3589
2021,11,CNG,12
2021,11,Diesel,1991
2021,11,Diesel PHEV,28
2021,11,Hybrid (Diesel),784
2021,11,Hybrid (Petrol),4509
2021,11,Hydrogen,3
2021,11,LPG,1
2021,11,PHEV,669
2021,11,Petrol,7220
2021,12,BEV,5598
2021,12,CNG,60
2021,12,Diesel,3012
2021,12,Diesel PHEV,21
2021,12,Hybrid (Diesel),891
2021,12,Hybrid (Petrol),5757
2021,12,Hydrogen,4
2021,12,PHEV,802
2021,12,Petrol,8244
2022,1,BEV,2152
2022,1,CNG,13
2022,1,Diesel,2098
2022,1,Diesel PHEV,18
2022,1,Hybrid (Diesel),681
2022,1,Hybrid (Petrol),3604
2022,1,Hydrogen,8
2022,1,LPG,1
2022,1,PHEV,1219
2022,1,Petrol,6350
2022,2,BEV,2455
2022,2,CNG,6
2022,2,Diesel,2157
2022,2,Diesel PHEV,26
2022,2,Hybrid (Diesel),731
2022,2,Hybrid (Petrol),3648
2022,2,Hydrogen,4
2022,2,PHEV,1270
2022,2,Petrol,6385
2022,3,BEV,4252
2022,3,CNG,12
2022,3,Diesel,2226
2022,3,Diesel PHEV,42
2022,3,Hybrid (Diesel),883
2022,3,Hybrid (Petrol),4735
2022,3,Hydrogen,6
2022,3,PHEV,1592
2022,3,Petrol,7979
2022,4,BEV,2110
2022,4,CNG,7
2022,4,Diesel,1916
2022,4,Diesel PHEV,31
2022,4,Hybrid (Diesel),688
2022,4,Hybrid (Petrol),3663
2022,4,Hydrogen,9
2022,4,PHEV,1090
2022,4,Petrol,6088
2022,5,BEV,2623
2022,5,CNG,9
2022,5,Diesel,2615
2022,5,Diesel PHEV,32
2022,5,Hybrid (Diesel),909
2022,5,Hybrid (Petrol),4089
2022,5,Hydrogen,10
2022,5,PHEV,1407
2022,5,Petrol,6772
2022,6,BEV,4460
2022,6,CNG,9
2022,6,Diesel,2469
2022,6,Diesel PHEV,40
2022,6,Hybrid (Diesel),860
2022,6,Hybrid (Petrol),4387
2022,6,Hydrogen,10
2022,6,LPG,1
2022,6,PHEV,1395
2022,6,Petrol,7655
2022,7,BEV,1991
2022,7,CNG,10
2022,7,Diesel,1961
2022,7,Diesel PHEV,31
2022,7,Hybrid (Diesel),759
2022,7,Hybrid (Petrol),2931
2022,7,Hydrogen,10
2022,7,PHEV,1133
2022,7,Petrol,6733
2022,8,BEV,2293
2022,8,CNG,18
2022,8,Diesel,2056
2022,8,Diesel PHEV,24
2022,8,Hybrid (Diesel),861
2022,8,Hybrid (Petrol),3309
2022,8,Hydrogen,5
2022,8,PHEV,1111
2022,8,Petrol,6729
2022,9,BEV,4220
2022,9,CNG,3
2022,9,Diesel,2414
2022,9,Diesel PHEV,36
2022,9,Hybrid (Diesel),902
2022,9,Hybrid (Petrol),4228
2022,9,Hydrogen,4
2022,9,LPG,1
2022,9,PHEV,1360
2022,9,Petrol,7849
2022,10,BEV,2442
2022,10,CNG,13
2022,10,Diesel,1869
2022,10,Diesel PHEV,28
2022,10,Hybrid (Diesel),906
2022,10,Hybrid (Petrol),4053
2022,10,Hydrogen,1
2022,10,PHEV,1180
2022,10,Petrol,6701
2022,11,BEV,4355
2022,11,CNG,8
2022,11,Diesel,2205
2022,11,Diesel PHEV,36
2022,11,Hybrid (Diesel),1145
2022,11,Hybrid (Petrol),4520
2022,11,PHEV,1534
2022,11,Petrol,7544
2022,12,BEV,6820
2022,12,CNG,14
2022,12,Diesel,2300
2022,12,Diesel PHEV,60
2022,12,Hybrid (Diesel),1371
2022,12,Hybrid (Petrol),4260
2022,12,Hydrogen,5
2022,12,LPG,1
2022,12,PHEV,1644
2022,12,Petrol,8030
2023,1,BEV,2870
2023,1,CNG,3
2023,1,Diesel,1660
2023,1,Diesel PHEV,32
2023,1,Hybrid (Diesel),960
2023,1,Hybrid (Petrol),3795
2023,1,Hydrogen,7
2023,1,PHEV,1338
2023,1,Petrol,5982
2023,2,BEV,2606
2023,2,CNG,3
2023,2,Diesel,1607
2023,2,Diesel PHEV,22
2023,2,Hybrid (Diesel),955
2023,2,Hybrid (Petrol),3971
2023,2,Hydrogen,3
2023,2,LPG,1
2023,2,PHEV,1419
2023,2,Petrol,6651
2023,3,BEV,4841
2023,3,CNG,13
2023,3,Diesel,2354
2023,3,Diesel PHEV,28
2023,3,Hybrid (Diesel),1351
2023,3,Hybrid (Petrol),5733
2023,3,Hydrogen,7
2023,3,LPG,2
2023,3,PHEV,2004
2023,3,Petrol,8998
2023,4,BEV,3389
2023,4,CNG,3
2023,4,Diesel,1646
2023,4,Diesel PHEV,16
2023,4,Hybrid (Diesel),958
2023,4,Hybrid (Petrol),4238
2023,4,Hydrogen,2
2023,4,PHEV,1279
2023,4,Petrol,6605
2023,5,BEV,4354
2023,5,CNG,8
2023,5,Diesel,2180
2023,5,Diesel PHEV,20
2023,5,Hybrid (Diesel),1008
2023,5,Hybrid (Petrol),4990
2023,5,Hydrogen,1
2023,5,PHEV,1564
2023,5,Petrol,7465
2023,6,BEV,5193
2023,6,CNG,4
2023,6,Diesel,2450
2023,6,Diesel PHEV,35
2023,6,Hybrid (Diesel),1085
2023,6,Hybrid (Petrol),5820
2023,6,Hydrogen,1
2023,6,PHEV,2113
2023,6,Petrol,8472
2023,7,BEV,3604
2023,7,CNG,2
2023,7,Diesel,1958
2023,7,Diesel PHEV,42
